id	pub_title.x	doi.x	pmid.x	registration_date	start_date	completion_date	has_iv_trn_abstract	has_iv_trn_ft	has_reg_pub_link	reg_1y_after_start.x	reg_after_cd.x	reg_after_pub.x	has_crossreg_eudract	has_crossreg_isrctn	ab_addressed	ab_justified	ab_wording	ft_addressed	ft_justified	ft_wording	trn_reported	trn_location	reg_reported	reg_location	reg_wording	comment
NCT00003636	Neoadjuvant chemotherapy or primary surgery in stage IIIC or IV ovarian cancer	10.1056/nejmoa0908806	20818904	1999-11-01	1998-09-01	NA	TRUE	TRUE	TRUE	TRUE	NA	FALSE	FALSE	FALSE	0	0	NA	0	0	NA	1	abstract	1	abstract	Funded by the National Cancer Institute; ClinicalTrials.gov number, NCT00003636.)	NA
NCT00020566	Cyclophosphamide compared with ifosfamide in consolidation treatment of standard-risk Ewing sarcoma: results of the randomized noninferiority Euro-EWING99-R1 trial	10.1200/jco.2013.54.4833	24982464	2001-07-11	2001-02-01	NA	TRUE	FALSE	TRUE	FALSE	NA	FALSE	FALSE	FALSE	0	0	NA	0	0	NA	1	abstract	1	abstract	(NCT00020566).	NA
NCT00047112	Patterns of recurrence in early-stage oesophageal cancer after chemoradiotherapy and surgery compared with surgery alone	10.1002/bjs.9959	26511668	2002-10-03	2002-05-01	2010-09-01	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	NA	0	0	NA	1	methods	1	methods	The trial design was registered on the ClinicalTrials.gov website under the identifying number NCT00047112.	NA
NCT00052468	CXCL12 expression by healthy and malignant ovarian epithelial cells	10.1186/1471-2407-11-97	21410972	2003-01-24	2002-08-01	2011-01-01	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	NA	0	0	NA	1	abstract	1	abstract	Trial Registration ClinicalTrials.gov: NCT00052468	NA
NCT00056056	Efficacy and safety of bexarotene combined with psoralen-ultraviolet A (PUVA) compared with PUVA treatment alone in stage IB-IIA mycosis fungoides: final results from the EORTC Cutaneous Lymphoma Task Force phase III randomized clinical trial (NCT00056056)	10.1111/j.1365-2133.2012.11156.x	22924950	2003-03-06	2003-01-01	2011-06-01	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	0	0	NA	0	0	NA	1	abstract	1	abstract	EORTC 21011 (NCT 00056056) 	NA
NCT00056134	Denileukin diftitox (ONTAK) induces a tolerogenic phenotype in dendritic cells and stimulates survival of resting Treg	10.1182/blood-2012-09-456988	23958949	2003-03-06	2002-10-01	2012-05-01	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	NA	0	0	NA	1	abstract	1	abstract	This trial was registered at www.clinicaltrials.gov, #NCT00056134.	NA
NCT00061984	Doxorubicin alone versus intensified doxorubicin plus ifosfamide for first-line treatment of advanced or metastatic soft-tissue sarcoma: a randomised controlled phase 3 trial	10.1016/s1470-2045(14)70063-4	24618336	2003-06-05	2003-04-01	2012-07-01	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	NA	0	0	NA	1	abstract	1	abstract	The trial is registered with ClinicalTrials.gov, number NCT00061984.	NA
NCT00074087	Prospective international multicenter phase II trial of intravenous pegylated liposomal doxorubicin monochemotherapy in patients with stage IIB, IVA, or IVB advanced mycosis fungoides: final results from EORTC 21012	10.1200/jco.2011.39.8065	23045580	2003-12-10	2003-10-01	2010-09-01	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	0	0	NA	0	0	NA	1	additional	1	additional	Clinical trial information: NCT00074087.	NA
NCT00094497	Combination chemotherapy in advanced adrenocortical carcinoma	10.1056/nejmoa1200966	22551107	2004-10-19	2004-06-01	2010-12-01	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCT00094653	Improved survival with ipilimumab in patients with metastatic melanoma	10.1056/nejmoa1003466	20525992	2004-10-21	2004-09-01	2009-10-01	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCT00095875	Induction chemotherapy followed by concurrent chemoradiotherapy (sequential chemoradiotherapy) versus concurrent chemoradiotherapy alone in locally advanced head and neck cancer (PARADIGM): a randomised phase 3 trial	10.1016/s1470-2045(13)70011-1	23414589	2004-11-09	2004-08-01	2012-04-01	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCT00114348	Use of allogeneic hematopoietic stem-cell transplantation based on minimal residual disease response improves outcomes for children with relapsed acute lymphoblastic leukemia in the intermediate-risk group	10.1200/jco.2012.48.5680	23775972	2005-06-14	2003-08-01	2012-07-01	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	0	0	NA	0	0	NA	1	abstract	1	abstract	Trial registration: ClinicalTrials.gov NCT00114348.	NA
NCT00115518	Combined treatment of nonsmall cell lung cancer NSCLC stage III with intensity-modulated RT radiotherapy and cetuximab: the NEAR trial	10.1002/cncr.25888	21264838	2005-06-22	2005-05-01	2010-08-01	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCT00118573	Comparison of surveillance versus aortic endografting for small aneurysm repair (CAESAR): results from a randomised trial	10.1016/j.ejvs.2010.08.026	20869890	2005-06-30	2004-09-01	2017-09-01	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCT00119717	Partial aortic occlusion for cerebral perfusion augmentation: safety and efficacy of NeuroFlo in Acute Ischemic Stroke trial	10.1161/strokeaha.110.609933	21566232	2005-07-07	2005-06-01	2010-07-01	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCT00120406	Paclitaxel-eluting stents show superiority to balloon angioplasty and bare metal stents in femoropopliteal disease: twelve-month Zilver PTX randomized study results	10.1161/circinterventions.111.962324	21953370	2005-07-11	2005-03-01	2014-02-01	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCT00133978	A randomized trial of glutamine and antioxidants in critically ill patients	10.1056/nejmoa1212722	23594003	2005-08-22	2005-04-01	2012-05-01	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCT00150878	Reduced-intensity conditioning versus standard conditioning before allogeneic haemopoietic cell transplantation in patients with acute myeloid leukaemia in first complete remission: a prospective, open-label randomised phase 3 trial	10.1016/s1470-2045(12)70349-2	22959335	2005-09-06	2003-12-01	2010-12-01	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	0	0	NA	0	0	NA	1	abstract	1	abstract	The trial is registered with ClinicalTrials.gov, number NCT00150878.	NA
NCT00151242	Gene mutations and response to treatment with all-trans retinoic acid in elderly patients with acute myeloid leukemia. Results from the AMLSG Trial AML HD98B	10.3324/haematol.13378	19059939	2005-09-06	2004-07-01	2013-08-01	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	0	0	NA	0	0	NA	1	abstract	1	abstract	(ClinicalTrials.gov Identifier: NCT00151242).	NA
NCT00151255	The value of allogeneic and autologous hematopoietic stem cell transplantation in prognostically favorable acute myeloid leukemia with double mutant CEBPA	10.1182/blood-2013-05-503847	23863898	2005-09-06	2004-06-01	2011-01-01	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	0	0	NA	0	0	NA	1	abstract	1	abstract	2983 patients analyzed for CEBPA mutational status (age 18-60 years) treated on 4 published Dutch-Belgian-Swiss Hemato-Oncology Cooperative Group (HOVON/SAKK) and 3 German-Austrian AML Study Group (AMLSG) protocols (2 published, 1 registered, clinicaltrials.gov NCT00151255)	NA
NCT00170326	Preventing ventricular dysfunction in pacemaker patients without advanced heart failure: results from a multicentre international randomized trial (PREVENT-HF)	10.1093/eurjhf/hfr041	21613427	2005-09-13	2002-01-01	2009-03-01	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	0	0	NA	0	0	NA	1	abstract	1	abstract	ClinicalTrials.gov Identifier: NCT00170326.	NA
NCT00170625	Venous thromboembolism in recurrent ovarian cancer-patients: A systematic evaluation of the North-Eastern German Society of Gynaecologic Oncology Ovarian Cancer Study Group (NOGGO)	10.1016/j.thromres.2009.03.013	19427025	2005-09-09	2004-06-01	2010-09-01	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	0	0	NA	0	0	NA	1	abstract	1	abstract	Trial registration: ClinicalTrials.gov NCT00170625 NCT00312988.	Reports two studies (The studies were registered at www.ClinicalTrials.gov with registration numbers NCT00312988 and NCT00170625.) --> really the results pub?
