id	pub_title.x	doi.x	pmid.x	registration_date	start_date	completion_date	has_iv_trn_abstract	has_iv_trn_ft	has_reg_pub_link	reg_1y_after_start.x	reg_after_cd.x	reg_after_pub.x	has_crossreg_eudract	has_crossreg_isrctn	trn_reported	trn_location	reg_reported	reg_location	reg_wording	ab_addressed	ab_justified	ab_date	ab_wording	ft_addressed	ft_justified	ft_date	ft_wording	rr_addressed_total	rr_justified_total	rr_date_total	comment	exclude	pub_eudra_nr
DRKS00009552	Parallel study about the effects of psychotherapy on patients with dental phobia determined by anxiety scores and saliva secretion and composition	10.1186/s12903-016-0264-2	27485732	22.10.15	01.12.11	2015-08-31	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	1	abstract	1	abstract	Trial registration:ðThis study has been retrospectively registered in the German Clinical Trials Register (# DRKS00009552 ) on 10/19/15.	1	0	1	Trial registration:ðThis study has been retrospectively registered in the German Clinical Trials Register (# DRKS00009552 ) on 10/19/15.	1	1	0	Registration was done after the study has been conducted and the results suggested a publication and further continuation of this research. The authors confirm that all ongoing and related trials for this drug/intervention are registered.ð	1	1	1	NA	0	
NCT02196545	Effects of physical activity training in patients with Alzheimer's dementia: results of a pilot RCT study	10.1371/journal.pone.0121478	25884637	14.07.14	01.08.11	2013-07-01	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	1	abstract	1	abstract	Trial registration:ðClinicalTrials.govðNCT02196545.	0	0	0	NA	1	1	1	At the time of submission of the study protocol, the Ethics Committee did not require registration for feasibility or proof of concept studies. The study was registered in ClinicalTrials.gov (NCT02196545) in July 2014 in preparation of a manuscript for publication of the data. The authors confirm that all ongoing and related trials for this intervention are registered.ð	1	1	1	NA	0	
NCT01914965	Bupropion for the treatment of apathy in Huntington's disease: A multicenter, randomised, double-blind, placebo-controlled, prospective crossover trial	10.1371/journal.pone.0173872	28323838	31.07.13	01.06.12	2014-05-01	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	1	abstract	1	abstract	ClinicalTrials.govð01914965	0	0	0	NA	1	1	1	The ACTION-HD trial was registered at the EudraCT clinical trial register (EudraCT number 2009-013698-16) on 24thðMarch 2011 prior to inclusion of the first patient. We later registered the trial at clinicaltrials.gov. The authors confirm that all ongoing and related trials for this drug/intervention are registered.	1	1	1	NA	0	2009-013698-16
NCT00678275	Antilymphocyte Globulin for Prevention of Chronic Graft-versus-Host Disease	10.1056/nejmoa1506002	26735993	08.05.08	01.10.06	2015-03-01	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	1	abstract	1	abstract	"(Funded by the Neovii Biotech and the European Society for Blood and Marrow Transplantation; ClinicalTrials.gov number,ðNCT00678275.)."	0	0	0	NA	1	1	1	"The study started recruitment in October 2006. At the time, there was confusion among European investigators regarding the need to register the trial before initiation of enrollment; the trial was registered in May 2008."	1	1	1	NA	0	
DRKS00008023	"Continuous wound infiltration versus epidural analgesia for midline abdominal incisions - a randomized-controlled pilot trial (Painless-Pilot trial; DRKS Number: DRKS00008023)"	10.1371/journal.pone.0229898	32142529	04.12.15	20.10.15	2017-01-15	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1	title	1	title	DRKS Number: DRKS00008023	0	0	0	NA	1	1	1	It was registered at the German Clinical Trials Register (DRKS00008023) and no changes to the methods or the design of the study occurred after registration. Registration of the study was applied for in April 2015. All queries from the DRKS were answered until the 31stðAugust 2015 except the planned inclusion date of the first patient (first-patient-in), which was correct in the DRKS registry on 1stðDecember 2015. Confirmation of registration occurred on 4thðDecember 2015. The first patient was recruited and randomized into the study on 20thðOctober 2015. Until 4thðDecember 2015 eight patients were randomized into the trial. The authors confirm that all ongoing and related trials for this drug/intervention are registered.	1	1	1	NA	0	
NCT01299948	Effects of Prednisolone on Disease Progression in Antiretroviral-Untreated HIV Infection: A 2-Year Randomized, Double-Blind Placebo-Controlled Clinical Trial	10.1371/journal.pone.0146678	26812052	18.02.11	01.06.07	2012-05-01	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	1	abstract	1	abstract	clinicaltrials.govðNCT01299948	0	0	0	NA	1	1	1	The trial was registered on February 18th, 2011 i.e. after enrollment has begun (FPFV 06/2007). At the time when the trial was started, the initiators of this study were unfortunately unaware of the policy of the International Committee of Medical Journal Editors (ICMJE), which requires prospective registration of all interventional clinical trials. As soon as we became aware of this policy, we registered the trial. The authors confirm that all ongoing and related trials for this drug/intervention are registered.	1	1	1	NA	0	
NCT01330485	Affect regulation training reduces symptom severity in depression - A randomized controlled trial	10.1371/journal.pone.0220436	31465443	04.04.11	01.11.10	2014-09-01	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	abstract	1	abstract	The study was registered with ClinicalTrials.gov (NCT01330485)Ê	0	0	0	NA	1	1	1	The trial was registered with ClinicalTrials.gov, numberÊNCT01330485. Because of administrative problems, release of registration occurred about six months after study start. The authors confirm that all ongoing and related trials for this intervention are registered. Relevant de-identified data can be downloaded fromÊhttps://osf.io/426pd.	1	1	1	NA	0	
NCT02661607	"The ""rapid atrial swirl sign"" for assessing central venous catheters: Performance by medical residents after limited training"	10.1371/journal.pone.0199345	30011285	17.06.15	01.10.14	2016-04-01	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	abstract	1	abstract	The study was registered withÊwww.clinicaltrials.govÊ(NCT02661607).	0	0	0	NA	1	1	1	The full study protocol was retrospectively registered with ClinicalTrials.gov (numberÊNCT02661607) in June 2015. The reason for retrospectively registering the study was that the study authors were not aware of the recommendation to register diagnostic accuracy studies before this date. The authors confirm that all ongoing and related trials for this intervention are registered. The first patient was included on November 10th, 2014, the last patient was included on April 5th, 2016.	1	1	1	NA	0	
NCT01890317	Mild Hypothermia in Cardiogenic Shock Complicating Myocardial Infarction	10.1161/circulationaha.117.032722	30026282	24.06.13	01.08.12	2016-03-01	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	abstract	1	abstract	URL: https://www.clinicaltrials.gov. Unique identifier: NCT01890317.	0	0	0	NA	1	1	1	This trial is registered withÊhttp://www.ClinicalTrials.govÊ(NCT01890317). The time of first registration was June 17, 2013, and final approved trial registration was July 1, 2013. First patient inclusion was in July 2012Êat the Heart Center LeipzigÐUniversity Hospital, Leipzig, Germany. Thus, there was a delay between first patient inclusion and trial registration that was the result of a misunderstanding betweenÊthe principalÊinvestigator of the trial, Dr Thiele, and the first author, Dr Fuernau, who was responsibleÊfor clinical project coordination at the investigatorÕs site at the Heart Center LeipzigÐUniversity of Leipzig. According to initial communication, registration had to be performed by Dr Fuernau. When the study principal investigator recognized that it had not been performed, we immediately registered the trial atÊhttp://www.ClinicalTrials.gov. At this time, only 7 patients at the Heart Center LeipzigÐUniversity Hospital had been included in the trial.	1	1	1	NA	0	
NCT01927549	PCI Strategies in Patients with Acute Myocardial Infarction and Cardiogenic Shock	10.1056/nejmoa1710261	29083953	14.08.13	01.04.13	2017-10-01	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	abstract	1	abstract	ÊClinicalTrials.gov number,ÊNCT01927549Ê.).	0	0	0	NA	1	1	1	The trial was registered at ClinicalTrials.gov 4 months after enrollment of the first patient, as discussed in theÊSupplementary Appendix /É/ Thus, there was a delay of trial registration before first patient inclusion which was induced by a misunderstanding between the project coordination for the EU grant (at this time gabo:mi, later on ARTTIC) and the clinical project coordination at the investigator's site at the Heart Center Leipzig - University of Leipzig. According to initial communication registration should be performed by gabo:mi. When the study coordinator recognized that it has not been performed we immediately registered it at clinicaltrials.gov. At this time only 13 patients at the Heart Center Leipzig Ð University Hospital (and no other study site) have been included into the trial.	1	1	1	https://www.nejm.org/doi/suppl/10.1056/NEJMoa1710261/suppl_file/nejmoa1710261_appendix.pdf 	0	
NCT02925377	Time-dependent postural control adaptations following a neuromuscular warm-up in female handball players: a randomized controlled trial	10.1186/s13102-016-0058-5	27757240	04.10.16	01.09.10	2011-05-01	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	1	abstract	1	abstract	Trial registration:ðRetrospectively registered on 4th October 2016. Registry: clinicaltrials.gov. Trial number:ðNCT02925377.	1	0	1	Trial registration:ðRetrospectively registered on 4th October 2016. Registry: clinicaltrials.gov. Trial number:ðNCT02925377.	1	0	0	The trial was retrospectively registered (trial registration numberðNCT02925377).	1	0	1	NA	0	
NCT03184272	Perioperative non-invasive versus semi-invasive cardiac index monitoring in patients with bariatric surgery - a prospective observational study	10.1186/s12871-020-01110-x	32778047	03.06.17	01.06.15	2017-06-01	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	1	abstract	1	abstract	Trial registration:ðThe study was registered retrospectively on June 12, 2017 with the registration numberðNCT03184272ð.	1	0	1	Trial registration:ðThe study was registered retrospectively on June 12, 2017 with the registration numberðNCT03184272ð.	1	0	1	The study was registered retrospectively on June 12, 2017 at https://clinicaltrials.gov/ct2/show/NCT03184272.	1	0	1	NA	0	
NCT03404232	The use of the DTOª hybrid dynamic device: a clinical outcome- and radiological-based prospective clinical trial	10.1186/s12891-018-2103-x	30016956	05.01.18	01.01.12	2017-12-31	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	1	abstract	1	abstract	Trial registration:ðThis trial was registered at the ClinicalTrials Register (ð#NCT03404232ð, 2018/01/18, registered retrospectively).	1	0	1	Trial registration:ðThis trial was registered at the ClinicalTrials Register (ð#NCT03404232ð, 2018/01/18, registered retrospectively).	1	0	1	This trial was registered at the ClinicalTrials Register (#NCT03404232, 2018/01/18, registered retrospectively).	1	0	1	NA	0	
