pmid,ft_wording
26208329,(ClinicalTrials.govÊidentifier:ÊNCT01230086; for logistic reasons the trial was registered after the recruitment began; the authors confirm that all ongoing and related trials for this intervention are registered)
26812052,"The trial was registered on February 18th, 2011 i.e. after enrollment has begun (FPFV 06/2007). At the time when the trial was started, the initiators of this study were unfortunately unaware of the policy of the International Committee of Medical Journal Editors (ICMJE), which requires prospective registration of all interventional clinical trials. As soon as we became aware of this policy, we registered the trial. The authors confirm that all ongoing and related trials for this drug/intervention are registered."
26305790,"The principal investigator (N.H.) delayed the registration of the study until data acquisition was completed for confidentiality reasons concerning the study methods, especially the magnetic resonance with the related morphometric measurements [38]. The authors confirm that all ongoing and related trials for this intervention are registered."
25768735,"This trial has been registered at ClinicalTrials.gov (http://clinicaltrials.gov) underðNCT02056951ðafter enrolment of participants started. This study was planned in 2006 and received a public funding from the German pension insurance in 2007. A trial registration was not required by the German pension insurance or the independent research ethics committee of the Medical Faculty at Friedrich-Alexander-University of Erlangen-Nðrnberg. The public awareness, that the registration of all studies meeting the WHO definition of a clinical trial should be considered as a scientific, ethical and moral responsibility (http://www.who.int/ictrp/faq/en/), has increased in Germany during the last years. However, during the planning period of this trial (2006ð2007) the registration of studies that evaluated the effectiveness of interventions with a primary educational focus within the German rehabilitation setting was not a necessary and well-established procedure in Germany. Since 2010 all interventional studies of our working group are registered in the trial registry ClinicalTrials.gov. Furthermore, the authors confirm that all ongoing and related trials for this intervention are registered."
25884637,"At the time of submission of the study protocol, the Ethics Committee did not require registration for feasibility or proof of concept studies. The study was registered in ClinicalTrials.gov (NCT02196545) in July 2014 in preparation of a manuscript for publication of the data. The authors confirm that all ongoing and related trials for this intervention are registered.ð"
27467683,"Initially the authors did not register the trial because the used toothpastes were cosmetics and no drugs; however, the trial was registered subsequently atðwww.clinicaltrials.gov(ClinicalTrials.govðNCT 02697539)."
28033320,The trial was registered at clinicaltrials.gov (registration numberðNCT02920164) after the enrollment of the participants was started since initially the authors regarded the project as an experimental investigation. The authors confirm that all ongoing and related trials for this drug/intervention are registered.ð
28323838,The ACTION-HD trial was registered at the EudraCT clinical trial register (EudraCT number 2009-013698-16) on 24thðMarch 2011 prior to inclusion of the first patient. We later registered the trial at clinicaltrials.gov. The authors confirm that all ongoing and related trials for this drug/intervention are registered.
31465443,"The trial was registered with ClinicalTrials.gov, numberÊNCT01330485. Because of administrative problems, release of registration occurred about six months after study start. The authors confirm that all ongoing and related trials for this intervention are registered. Relevant de-identified data can be downloaded fromÊhttps://osf.io/426pd."
30011285,"The full study protocol was retrospectively registered with ClinicalTrials.gov (numberÊNCT02661607) in June 2015. The reason for retrospectively registering the study was that the study authors were not aware of the recommendation to register diagnostic accuracy studies before this date. The authors confirm that all ongoing and related trials for this intervention are registered. The first patient was included on November 10th, 2014, the last patient was included on April 5th, 2016."
32853281,"was registered at clinicaltrials.gov (registration numberðNCT03093584). This registration was performed later than the enrolment of the participants was started, since initially the authors regarded the project as an experimental investigation. The authors confirm that all ongoing and related trials for auricular stimulation for anxiety are registered at clinicaltrials.gov.ð"
