id,registry,is_resolved,iv_version,identification_step,is_dupe,iv_completion,iv_status,iv_interventional,has_german_umc_lead,lead_cities,facility_cities,title,center_size,main_sponsor,study_type,intervention_type,phase,enrollment,recruitment_status,masking,allocation,is_randomized,is_multicentric,is_prospective,has_summary_results,registration_date,start_date,completion_date,completion_year,primary_completion_date,primary_completion_year,summary_results_date,days_cd_to_summary,days_pcd_to_summary,days_reg_to_start,days_reg_to_cd,days_reg_to_pcd,days_cd_to_publication,days_pcd_to_publication,days_reg_to_publication,results_search_start_date,results_search_end_date,registry_download_date,doi,pmid,url,publication_date,publication_type,has_pubmed,has_ft,ft_source,pub_title,journal_pubmed,ppub_date,epub_date,has_iv_trn_abstract,has_iv_trn_secondary_id,has_iv_trn_ft,has_reg_pub_link,pmid_link,doi_link,reference_derived,has_crossreg_clinicaltrials.gov,has_crossreg_isrctn,has_crossreg_eudract,has_crossreg_drks,has_crossreg_anzctr,has_crossreg_ntr,n_crossreg_secondary_id,n_crossreg_abstract,n_crossreg_ft,n_crossreg_reg,n_reg_pub_any,n_reg_pub_doi_or_pmid,results_followup_pub,results_followup_sumres,has_followup_2y_pub,has_followup_2y_sumres,has_followup_5y_pub,has_followup_5y_sumres,is_summary_results_1y,is_summary_results_2y,is_summary_results_5y,is_publication_2y,is_publication_5y,color_green_only,color,issn,journal_unpaywall,publisher,publication_date_unpaywall,syp_response,can_archive,archiving_locations,inst_repository,versions,submitted_version,accepted_version,published_version,licenses_required,permission_issuer,embargo,date_embargo_elapsed,is_embargo_elapsed,permission_accepted,permission_published,is_oa,is_archivable,is_closed_archivable,reg_after_cd,reg_after_pub,reg_1y_after_start
NCT00020566,ClinicalTrials.gov,TRUE,1,Registry linked,FALSE,FALSE,TRUE,TRUE,TRUE,Münster,NA,"Combination Chemotherapy With or Without Peripheral Stem Cell Transplantation, Radiation Therapy, and/or Surgery in Treating Patients With Ewing's Sarcoma",large,Other,Interventional,Biological,Phase 3,1200,Unknown status,NA,Randomized,TRUE,TRUE,FALSE,FALSE,2001-07-11,2001-02-01,NA,NA,2011-12-01,2011,NA,NA,NA,-160,NA,3795,NA,942,4737,2017-07-01,2017-12-01,2021-08-15,10.1200/jco.2013.54.4833,24982464,https://www.ncbi.nlm.nih.gov/pubmed/24982464?dopt=Abstract,2014-06-30,journal publication,TRUE,TRUE,doi,Cyclophosphamide compared with ifosfamide in consolidation treatment of standard-risk Ewing sarcoma: results of the randomized noninferiority Euro-EWING99-R1 trial,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,2014-Aug-10,2014-06-30,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,closed,"0732-183X,1527-7755",Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),2014-08-10,response,TRUE,['institutional repository'],TRUE,"['publishedVersion', 'acceptedVersion']",FALSE,TRUE,TRUE,"[{'type': 'other-closed', 'terms': ''}]",publisher,12,2015-08-10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,NA,FALSE,FALSE
NCT00056134,ClinicalTrials.gov,TRUE,1,Registry linked,FALSE,TRUE,TRUE,TRUE,TRUE,Erlangen,NA,Vaccine Therapy in Treating Patients With Stage III or Stage IV Melanoma,large,Other,Interventional,Biological,Phase 1/Phase 2,23,Completed,None (Open Label),NA,NA,FALSE,FALSE,FALSE,2003-03-06,2002-10-01,2012-05-01,2012,2011-10-01,2011,NA,NA,NA,-156,3344,3131,475,688,3819,2017-07-01,2017-12-01,2021-08-15,10.1182/blood-2012-09-456988,23958949,http://www.bloodjournal.org/content/122/13/2185.long?sso-checked=true,2013-08-19,journal publication,TRUE,TRUE,doi,Denileukin diftitox (ONTAK) induces a tolerogenic phenotype in dendritic cells and stimulates survival of resting Treg,Blood,2013-Sep-26,2013-08-19,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,0,1,1,2040,3393,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,closed,closed,"0006-4971,1528-0020",Blood,American Society of Hematology,2013-09-26,response,TRUE,['institutional repository'],TRUE,"['publishedVersion', 'acceptedVersion']",FALSE,TRUE,TRUE,[],journal,12,2014-09-26,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
NCT00094497,ClinicalTrials.gov,TRUE,1,Registry linked,FALSE,TRUE,TRUE,TRUE,TRUE,Würzburg,Berlin Düsseldorf Duisburg-Essen Hannover Magdeburg LMU-München,Trial in Locally Advanced and Metastatic Adrenocortical Carcinoma Treatment (FIRM-ACT),small,Other,Interventional,Drug,Phase 3,304,Completed,None (Open Label),Randomized,TRUE,TRUE,FALSE,TRUE,2004-10-19,2004-06-01,2010-12-01,2010,2010-12-01,2010,2016-09-19,2119,2119,-140,2234,2234,518,518,2752,2017-07-01,2017-12-01,2021-08-15,10.1056/nejmoa1200966,22551107,https://www.ncbi.nlm.nih.gov/pubmed/?term=NCT00094497,2012-05-02,journal publication,TRUE,TRUE,doi,Combination chemotherapy in advanced adrenocortical carcinoma,The New England journal of medicine,2012-Jun-07,2012-05-02,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,2,2,2557,3910,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,green,green,"0028-4793,1533-4406",New England Journal of Medicine,Massachusetts Medical Society,2012-06-07,response,TRUE,['institutional repository'],TRUE,['publishedVersion'],FALSE,FALSE,TRUE,[],journal,6,2012-12-07,TRUE,FALSE,TRUE,TRUE,TRUE,NA,FALSE,FALSE,FALSE
NCT00098137,ClinicalTrials.gov,TRUE,1,Registry linked,FALSE,TRUE,TRUE,TRUE,TRUE,Hamburg Magdeburg,NA,Trial to Investigate the Efficacy of Olmesartan in Paroxysmal Atrial Fibrillation,large,Other,Interventional,Drug,Phase 3,422,Completed,Triple,Randomized,TRUE,TRUE,TRUE,FALSE,2004-12-03,2005-01-01,2009-05-01,2009,2009-05-01,2009,NA,NA,NA,29,1610,1610,950,950,2560,2017-07-01,2017-12-01,2021-08-15,10.1161/circep.111.965178,22157519,https://www.ncbi.nlm.nih.gov/pubmed/22157519,2011-12-07,journal publication,TRUE,TRUE,doi,Angiotensin II-antagonist in paroxysmal atrial fibrillation (ANTIPAF) trial,Circulation. Arrhythmia and electrophysiology,2012-Feb,2011-12-07,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,3,3,3136,4489,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,FALSE,TRUE,bronze,bronze,"1941-3149,1941-3084",Circulation: Arrhythmia and Electrophysiology,Ovid Technologies (Wolters Kluwer Health),2012-02-01,response,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,"[{'type': 'other-closed', 'terms': ''}]",publisher,12,2013-02-01,TRUE,TRUE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,FALSE
NCT00114348,ClinicalTrials.gov,TRUE,1,Registry linked,FALSE,TRUE,TRUE,TRUE,TRUE,Berlin,NA,ALL-REZ BFM 2002: Multi-Center Study for Children With Relapsed Acute Lymphoblastic Leukemia,large,Other,Interventional,Procedure,Phase 4,338,Completed,None (Open Label),Randomized,TRUE,FALSE,FALSE,FALSE,2005-06-14,2003-08-01,2012-07-01,2012,2012-07-01,2012,NA,NA,NA,-683,2574,2574,351,351,2925,2017-07-01,2017-12-01,2021-08-15,10.1200/jco.2012.48.5680,23775972,https://www.ncbi.nlm.nih.gov/pubmed/23775972?dopt=Abstract,2013-06-17,journal publication,TRUE,TRUE,doi,Use of allogeneic hematopoietic stem-cell transplantation based on minimal residual disease response improves outcomes for children with relapsed acute lymphoblastic leukemia in the intermediate-risk group,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,2013-Jul-20,2013-06-17,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,14,14,1979,3332,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,closed,closed,"0732-183X,1527-7755",Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),2013-07-20,response,TRUE,['institutional repository'],TRUE,"['publishedVersion', 'acceptedVersion']",FALSE,TRUE,TRUE,"[{'type': 'other-closed', 'terms': ''}]",publisher,12,2014-07-20,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
NCT00115518,ClinicalTrials.gov,TRUE,1,Registry linked,FALSE,TRUE,TRUE,TRUE,TRUE,Heidelberg,NA,Radiation Plus Cetuximab in Locally Advanced Non-Small Cell Lung Cancer (NSCLC),large,Other,Interventional,Drug,Phase 2,30,Completed,None (Open Label),Non-Randomized,FALSE,FALSE,FALSE,FALSE,2005-06-22,2005-05-01,2010-08-01,2010,2009-06-01,2009,NA,NA,NA,-52,1866,1440,176,602,2042,2017-07-01,2017-12-01,2021-08-15,10.1002/cncr.25888,21264838,http://onlinelibrary.wiley.com/doi/10.1002/cncr.25888/full,2011-01-24,journal publication,TRUE,TRUE,doi,Combined treatment of nonsmall cell lung cancer NSCLC stage III with intensity-modulated RT radiotherapy and cetuximab: the NEAR trial,Cancer,2011-Jul-01,2011-01-24,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,3,3,2679,4032,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,bronze,bronze,0008-543X,Cancer,Wiley,2011-01-24,no_embargo_info,TRUE,['institutional repository'],TRUE,['acceptedVersion'],FALSE,TRUE,FALSE,"[{'type': 'other (non-commercial)', 'terms': 'https://perma.cc/6S5D-XMF4'}]",publisher,NA,NA,NA,NA,NA,TRUE,NA,NA,FALSE,FALSE,FALSE
NCT00122031,ClinicalTrials.gov,TRUE,1,Registry linked,FALSE,TRUE,TRUE,TRUE,TRUE,Bonn Köln,NA,Deep Brain Stimulation for Treatment-Refractory Major Depression,large,Other,Interventional,Device,Phase 1,13,Completed,None (Open Label),NA,NA,FALSE,TRUE,FALSE,2005-07-15,2005-07-01,2011-01-01,2011,2009-04-01,2009,NA,NA,NA,-14,1996,1356,188,828,2184,2017-07-01,2017-12-01,2021-08-15,10.3109/15622975.2011.583940,21736514,http://www.tandfonline.com/doi/full/10.3109/15622975.2011.583940,2011-07-08,journal publication,TRUE,TRUE,doi,Neuropsychological safety of nucleus accumbens deep brain stimulation for major depression: effects of 12-month stimulation,The world journal of biological psychiatry : the official journal of the World Federation of Societies of Biological Psychiatry,2011-Oct,2011-07-08,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,13,13,2526,3879,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,closed,closed,"1562-2975,1814-1412",The World Journal of Biological Psychiatry,Informa UK Limited,2011-07-08,response,TRUE,['institutional repository'],TRUE,['acceptedVersion'],FALSE,TRUE,FALSE,"[{'type': 'cc-by-nc', 'terms': ''}]",journal,12,2012-07-08,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
NCT00136188,ClinicalTrials.gov,TRUE,1,Registry linked,FALSE,TRUE,TRUE,TRUE,TRUE,Erlangen,NA,Nitric Oxide (NO) Activity and Diabetic Nephropathy,large,Other,Interventional,Drug,Phase 2/Phase 3,100,Completed,Double,NA,NA,FALSE,TRUE,FALSE,2005-08-25,2009-08-01,2011-12-01,2011,2011-12-01,2011,NA,NA,NA,1437,2289,2289,-303,-303,1986,2017-07-01,2017-12-01,2021-08-15,10.2337/db09-1630,21270268,http://diabetes.diabetesjournals.org/content/60/2/572.long,2011-02-01,journal publication,TRUE,TRUE,doi,Reduction in basal nitric oxide activity causes albuminuria,Diabetes,2011-Feb,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,2,2,2192,3545,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,hybrid,hybrid,"0012-1797,1939-327X",Diabetes,American Diabetes Association,2011-01-26,no_embargo_info,TRUE,['institutional repository'],TRUE,"['submittedVersion', 'acceptedVersion', 'publishedVersion']",TRUE,TRUE,TRUE,"[{'type': 'cc-by-nc-nd', 'terms': ''}]",article,NA,NA,NA,NA,NA,TRUE,NA,NA,FALSE,FALSE,FALSE
NCT00150878,ClinicalTrials.gov,TRUE,1,Registry linked,FALSE,TRUE,TRUE,TRUE,TRUE,Dresden,NA,Standard vs. Reduced-Intensity Conditioning in Patients With Acute Myeloid Leukemia in First Remission,large,Other,Interventional,Other,Phase 3,198,Terminated,None (Open Label),Randomized,TRUE,FALSE,FALSE,FALSE,2005-09-06,2003-12-01,2010-12-01,2010,2009-12-01,2009,NA,NA,NA,-645,1912,1547,646,1011,2558,2017-07-01,2017-12-01,2021-08-15,10.1016/s1470-2045(12)70349-2,22959335,https://www.ncbi.nlm.nih.gov/pubmed/22959335?dopt=Abstract,2012-09-07,journal publication,TRUE,TRUE,doi,"Reduced-intensity conditioning versus standard conditioning before allogeneic haemopoietic cell transplantation in patients with acute myeloid leukaemia in first complete remission: a prospective, open-label randomised phase 3 trial",The Lancet. Oncology,2012-Oct,2012-09-07,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,4,4,2557,3910,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,closed,closed,1470-2045,The Lancet Oncology,Elsevier BV,2012-10-01,response,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,"[{'type': 'cc-by-nc-nd', 'terms': ''}]",journal,6,2013-04-01,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
NCT00151242,ClinicalTrials.gov,TRUE,1,Registry linked,FALSE,TRUE,TRUE,TRUE,TRUE,Ulm,Bonn Düsseldorf Freiburg Giessen Göttingen Hamburg Hannover Schleswig-Holstein Mainz TU-München Homburg Tübingen,"Study on All-Trans Retinoic Acid, Induction and Consolidation Therapy, and Pegfilgrastim After Consolidation Therapy in Younger Patients With Newly Diagnosed Acute Myeloid Leukemia",large,Other,Interventional,Drug,Phase 2/Phase 3,920,Completed,None (Open Label),Randomized,TRUE,TRUE,FALSE,FALSE,2005-09-06,2004-07-01,2013-08-01,2013,2011-08-01,2011,NA,NA,NA,-432,2886,2155,-1701,-970,1185,2017-07-01,2017-12-01,2021-08-15,10.3324/haematol.13378,19059939,https://www.ncbi.nlm.nih.gov/pubmed/19059939?dopt=Abstract,2008-12-04,journal publication,TRUE,TRUE,doi,Gene mutations and response to treatment with all-trans retinoic acid in elderly patients with acute myeloid leukemia. Results from the AMLSG Trial AML HD98B,Haematologica,2009-Jan,2008-12-04,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,6,6,1583,2936,TRUE,TRUE,FALSE,TRUE,NA,NA,NA,TRUE,TRUE,gold,gold,"0390-6078,1592-8721",Haematologica,Ferrata Storti Foundation (Haematologica),2009-01-01,response,TRUE,['institutional repository'],TRUE,['publishedVersion'],FALSE,FALSE,TRUE,[],journal,0,NA,TRUE,FALSE,TRUE,TRUE,TRUE,NA,FALSE,FALSE,TRUE
