id,pub_title,doi,pmid,registration_date,start_date,completion_date,has_iv_trn_abstract,has_iv_trn_ft,has_reg_pub_link,reg_1y_after_start,reg_after_cd,reg_after_pub,has_crossreg_eudract,has_crossreg_isrctn
NCT00020566,Cyclophosphamide compared with ifosfamide in consolidation treatment of standard-risk Ewing sarcoma: results of the randomized noninferiority Euro-EWING99-R1 trial,10.1200/jco.2013.54.4833,24982464,2001-07-11,2001-02-01,NA,TRUE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE
NCT00056134,Denileukin diftitox (ONTAK) induces a tolerogenic phenotype in dendritic cells and stimulates survival of resting Treg,10.1182/blood-2012-09-456988,23958949,2003-03-06,2002-10-01,2012-05-01,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00094497,Combination chemotherapy in advanced adrenocortical carcinoma,10.1056/nejmoa1200966,22551107,2004-10-19,2004-06-01,2010-12-01,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00114348,Use of allogeneic hematopoietic stem-cell transplantation based on minimal residual disease response improves outcomes for children with relapsed acute lymphoblastic leukemia in the intermediate-risk group,10.1200/jco.2012.48.5680,23775972,2005-06-14,2003-08-01,2012-07-01,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
NCT00115518,Combined treatment of nonsmall cell lung cancer NSCLC stage III with intensity-modulated RT radiotherapy and cetuximab: the NEAR trial,10.1002/cncr.25888,21264838,2005-06-22,2005-05-01,2010-08-01,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00150878,"Reduced-intensity conditioning versus standard conditioning before allogeneic haemopoietic cell transplantation in patients with acute myeloid leukaemia in first complete remission: a prospective, open-label randomised phase 3 trial",10.1016/s1470-2045(12)70349-2,22959335,2005-09-06,2003-12-01,2010-12-01,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
NCT00151242,Gene mutations and response to treatment with all-trans retinoic acid in elderly patients with acute myeloid leukemia. Results from the AMLSG Trial AML HD98B,10.3324/haematol.13378,19059939,2005-09-06,2004-07-01,2013-08-01,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
NCT00151255,The value of allogeneic and autologous hematopoietic stem cell transplantation in prognostically favorable acute myeloid leukemia with double mutant CEBPA,10.1182/blood-2013-05-503847,23863898,2005-09-06,2004-06-01,2011-01-01,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
NCT00170326,Preventing ventricular dysfunction in pacemaker patients without advanced heart failure: results from a multicentre international randomized trial (PREVENT-HF),10.1093/eurjhf/hfr041,21613427,2005-09-13,2002-01-01,2009-03-01,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
NCT00170625,Venous thromboembolism in recurrent ovarian cancer-patients: A systematic evaluation of the North-Eastern German Society of Gynaecologic Oncology Ovarian Cancer Study Group (NOGGO),10.1016/j.thromres.2009.03.013,19427025,2005-09-09,2004-06-01,2010-09-01,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
