id,reg_eudra_nr,start_date,first_reg_date,reg_eudra_prospective
NCT00282646,2005-000968-33,2005-10-01,2005-03-16,1
NCT00298597,2005-001113-18,2006-03-01,2005-12-21,1
NCT00326989,2005-005709-50,2006-05-01,2006-01-09,1
NCT00351403,2006-000358-38,2006-07-01,2006-03-23,1
NCT00375219,2006-000176-32,2006-09-01,2006-03-31,1
NCT00395252,2005-005168-94,2006-10-01,2006-01-31,1
NCT00400387,2006-001984-53,2006-11-01,2007-01-19,0
NCT00404092,2006-001936-30,2006-10-01,2006-10-24,0
NCT00422890,2006-001040-31,2007-01-01,2006-07-14,1
NCT00438451,2005-003324-19,2007-01-01,2006-09-14,1
NCT00445081,2006-003667-31,2007-03-01,2007-04-23,0
NCT00447304,2006-002056-14,2006-10-01,2006-06-13,1
NCT00504400,2006-006233-40,2007-08-01,2007-03-06,1
NCT00506688,2005-003870-88,2007-07-01,2006-08-28,1
NCT00509184,2006-001212-72,2008-03-01,2007-05-09,1
NCT00510965,2006-006233-49,2007-08-01,NA,NA
NCT00512135,2006-005342-36,2007-06-18,2007-03-21,1
NCT00523393,2006-006573-24,2007-08-01,2007-02-01,1
NCT00533221,2005-002822-78,2007-10-01,2005-11-21,1
NCT00534287,2006-006984-21,2007-10-01,2007-02-02,1
NCT00567736,2006-006390-24,2007-08-01,2007-01-24,1
NCT00568841,2005-005393-73,2007-10-01,2007-12-14,0
NCT00571155,2007-005063-96,2007-12-01,2007-10-01,1
NCT00571168,2001-004956-38,2005-07-01,NA,NA
NCT00571168,2004-004956-38,2005-07-01,2005-09-22,0
NCT00575588,2007-003998-55,2007-12-01,2007-10-05,1
NCT00598611,2006-003686-13,2007-09-01,2007-03-29,1
NCT00601510,2006-005792-17,2007-11-01,NA,NA
NCT00650078,2007-003508-36,2008-03-01,2008-02-18,1
NCT00659789,2007-006302-13,2008-08-01,2008-01-17,1
NCT00670254,2007-004401-10,2009-01-01,2008-02-28,1
NCT00672334,2007-002223-32,2008-05-01,2008-02-07,1
NCT00690118,2006-005410-13,2008-05-01,2008-01-21,1
NCT00690300,2005-004236-40,2008-01-01,2007-10-08,1
NCT00701142,2007-004612-31,2008-06-01,2008-02-14,1
NCT00701662,2007-000710-37,2007-11-01,2007-09-10,1
NCT00715091,2007-007637-39,2008-09-01,2008-04-15,1
NCT00718692,2007-006081-15,2008-07-01,2008-02-07,1
NCT00793663,2008-004132-20,2008-11-01,2008-09-10,1
NCT00798525,2006-003122-28,2009-01-01,2008-08-22,1
NCT00804271,2008-005144-16,2008-12-01,2008-10-20,1
NCT00832039,2007-004333-42,2009-11-01,2008-03-07,1
NCT00926900,2006-007090-72,2009-03-01,2007-07-16,1
NCT00938574,2008-005588-32,2009-06-01,NA,NA
NCT00979056,2007-003986-42,2009-10-01,2007-10-19,1
NCT00986258,2009-010428-25,2009-10-30,2009-06-04,1
NCT01011322,2008-007952-90,2009-12-01,2009-08-04,1
NCT01045772,2006-004290-97,2009-01-01,2006-10-17,1
NCT01088620,2009-014677-41,2010-04-01,2009-11-02,1
NCT01143272,2009-017374-20,2010-06-01,2010-03-11,1
NCT01149304,2008-002985-70,2009-06-01,2008-12-17,1
NCT01178255,2009-017458-11,2010-08-01,2010-03-24,1
NCT01200420,2010-019057-17,2010-09-01,2010-03-24,1
NCT01221571,2010-019232-13,2010-10-01,NA,NA
NCT01239992,2010-019954-42,2011-06-01,2010-07-07,1
NCT01285271,2010-023942-63,2011-05-01,2010-12-06,1
NCT01295307,2010-022584-35,2011-03-01,2010-09-28,1
NCT01302951,2008-001902-18,2008-07-01,NA,NA
NCT01339026,2010-020219-35,2012-02-01,2011-03-30,1
NCT01382030,2004-002501-72,2005-06-01,2004-10-20,1
NCT01384058,2006-005906-30,2007-11-01,2007-04-23,1
NCT01422512,2010-024613-31,2011-09-01,2011-05-03,1
NCT01450865,2007-007314-10,2009-10-01,NA,NA
NCT01450930,2011-002687-25,2011-11-01,2011-10-06,1
NCT01490268,2011-003648-31,2011-11-01,2011-08-18,1
NCT01539330,2008-008524-32,2009-02-01,NA,NA
NCT01586091,2010-022747-38,2011-02-01,NA,NA
NCT01703819,2012-002358-22,2012-10-01,2012-07-30,1
NCT01731249,2010-020693-42,2010-11-01,2010-08-16,1
NCT02181101,2005-000490-21,2005-09-01,2005-04-07,1
NCT00623402,2007-001918-16,2008-01-01,2009-04-14,0
NCT00746720,2005-003854-80,2006-05-01,2006-01-04,1
NCT00883623,2008-001405-41,2009-04-01,2008-08-28,1
